1,ヒューガルデンホワイト（生）,490,世界一に輝くベルギービール。ホワイトビールの至高。クリーミーな泡！
2,ステラ　アルトワ（生）,490,ベルギー国内No.1のプレミアムラガー。草のようなホップの爽やかな香り。
3,名門蒸留所のハイボール,380,名門蒸留所「エズラ・ブルックス」の香り高いバーボン・ウィスキーを爽やかなハイボールで。
